WasDAUID,NewDAUID1,NewDAUID2,NewDAUID3,NewDAUID4,NewDAUID5,NewDAUID6
35250063,35250999,35250998,,,,
35250132,35250981,35250982,,,,
35250154,35251006,35251005,35251004,35251003,,
35250155,35251007,35251009,35251010,35251008,,
35250171,35251027,35251028,,,,
35250174,35251029,35251030,,,,
35250182,35250983,,,,,
35250187,35250985,,,,,
35250577,35251011,35251012,35251013,35251014,35251015,
35250584,35250988,35250989,,,,
35250653,35251016,35251017,35251018,,,
35250808,35251020,35251021,35251019,,,
35250809,35251022,35251023,35251024,,,
35250840,35251025,35251026,,,,
35250841,35250990,35250991,35250992,,,
35250842,35250986,35250987,,,,
35250844,35250993,35250994,35250995,,,
35250858,35251000,35251001,35251002,,,
35250915,35251031,35251032,,,,
35250916,35251033,35251035,35251036,35251037,35251038,35251039
35250917,35250996,35250997,,,,
35250926,35250976,35250980,,,,
35250927,35250978,,,,,
