DISSEM,DAUID,DIVCODE,POP2006,MALE0TO4,MALE5TO9,MALE10TO14,FEM0TO4,FEM5TO9,FEM10TO14,POP15UP,POP0TO14SUBT,POP0TO14ADD,PERCLOWINC0TO5,AVGAFTERTAXINC
0,3525,3525,504559,13780,15145,17230,13160,14270,16310,414670,89889,89895,21.4,57890
30,35250030,3525,426,5,15,15,10,10,10,365,61,65,0,52981
31,35250031,3525,536,10,20,15,15,15,20,450,86,95,0,77329
32,35250032,3525,647,15,30,25,15,15,30,515,132,130,0,108383
33,35250033,3525,679,15,20,25,10,15,30,580,99,115,0,102328
34,35250034,3525,712,25,20,15,20,10,30,600,112,120,0,64620
35,35250035,3525,333,5,10,10,5,10,15,265,68,55,0,67795
36,35250036,3525,649,25,20,20,20,15,15,540,109,115,0,59637
37,35250037,3525,569,15,15,15,5,15,20,480,89,85,0,75536
38,35250038,3525,677,5,10,5,15,0,10,630,47,45,0,40291
39,35250039,3525,504,5,5,5,0,10,0,465,39,25,0,30407
40,35250040,3525,503,20,15,20,15,25,15,395,108,110,0,38419
41,35250041,3525,421,0,10,10,5,15,10,375,46,50,0,41323
42,35250042,3525,284,10,5,10,5,10,10,235,49,50,0,48894
43,35250043,3525,619,10,10,20,20,10,15,545,74,85,0,58782
44,35250044,3525,362,10,10,10,15,10,10,305,57,65,0,66418
45,35250045,3525,407,10,15,5,10,10,10,360,47,60,0,37594
46,35250046,3525,520,15,15,15,15,15,20,425,95,95,0,75339
47,35250047,3525,605,15,15,20,15,15,15,505,100,95,0,84008
48,35250048,3525,344,10,15,20,10,10,10,270,74,75,0,80057
49,35250049,3525,494,15,20,15,5,20,25,390,104,100,0,80555
50,35250050,3525,388,10,10,10,10,5,10,330,58,55,0,83198
51,35250051,3525,1233,30,55,55,25,35,50,980,253,250,0,84694
52,35250052,3525,371,5,15,15,15,15,5,305,66,70,0,68319
53,35250053,3525,665,5,15,30,5,10,20,575,90,85,0,131897
54,35250054,3525,401,5,20,15,10,10,15,330,71,75,0,83055
55,35250055,3525,763,15,20,25,15,20,25,635,128,120,0,79822
56,35250056,3525,249,10,10,25,5,10,15,185,64,75,0,0
59,35250059,3525,782,15,35,35,20,35,35,615,167,175,0,107969
60,35250060,3525,663,15,20,20,20,25,25,545,118,125,0,91602
61,35250061,3525,455,15,10,20,5,5,15,380,75,70,0,105728
62,35250062,3525,649,15,15,20,5,10,15,565,84,80,0,97374
63,35250063,3525,1599,35,50,50,35,50,45,1340,259,265,0,140138
64,35250064,3525,813,10,15,35,5,15,25,710,103,105,0,126402
65,35250065,3525,590,15,20,20,10,10,20,490,100,95,0,111556
