DAUID,POP2016,POP0TO14,AVGAFTERTAXINCOME,PERCLOWINC0TO5
3525,536917,87120,73524,17.3
35250030,402,50,82340,0
35250031,468,75,109975,0
35250032,614,95,113852,0
35250033,627,105,113490,0
35250034,680,105,74337,12.5
35250035,392,60,84809,20
35250036,603,130,95354,9.1
35250037,542,90,89789,0
35250038,689,40,54350,0
35250039,526,30,46501,50
35250040,490,90,60286,50
35250041,403,35,55974,25
35250042,247,20,,
35250043,577,70,81670,0
35250044,419,65,83147,0
35250045,422,45,42700,25
35250046,503,80,132873,0
35250047,575,70,97514,0
35250048,277,35,116768,0
35250049,394,55,97052,0
35250050,408,75,93187,0
35250051,1312,170,99990,0
35250052,339,55,91370,0
35250053,599,80,148554,0
35250054,365,45,90057,0
35250055,735,120,95980,0
35250056,211,35,,
35250059,1051,150,122691,8.3
35250060,653,95,105495,0
35250061,400,60,108493,33.3
35250062,596,75,135674,0
35250064,768,95,124313,0
35250065,530,75,139189,0
35250066,390,65,136770,0
35250067,608,125,118914,0
35250070,658,65,84039,16.7
35250073,451,70,77937,0
35250074,315,35,78147,0
35250075,414,60,91972,0
35250077,561,85,77742,33.3
35250078,400,50,93326,0
35250079,301,40,,25
35250080,663,165,73131,27.3
35250081,1055,230,66004,25
35250082,249,30,,
35250083,846,255,60883,41.2
35250084,349,60,69357,0
35250085,303,40,75522,50
35250086,695,90,71359,0
35250087,506,75,76123,16.7
35250088,460,55,74482,0
35250089,533,65,45221,50
35250093,538,70,70298,16.7
35250094,348,60,64643,20
35250095,438,45,92400,33.3
35250096,514,90,70895,0
35250097,363,60,100315,0
35250098,232,30,,
35250099,1038,150,108155,25
35250100,490,85,113418,0
35250101,456,90,98492,0
35250102,333,65,102223,0
35250105,569,80,86512,0
35250106,478,70,78672,0
35250107,498,75,89492,0
35250108,533,80,73579,0
35250109,702,120,80413,0
35250110,573,75,79364,0
35250111,735,65,50081,0
35250112,462,75,67414,12.5
35250113,312,30,80875,0
35250114,381,55,76277,0
35250115,1426,300,53640,28.6
35250116,711,155,84822,7.7
35250117,278,50,,0
35250118,384,60,74640,33.3
35250119,498,70,70404,20
35250120,394,75,74270,20
35250121,461,85,58047,40
35250122,392,70,92002,0
35250123,374,45,106683,0
35250124,481,70,66208,0
35250125,332,55,81141,0
35250126,611,120,56203,25
35250127,1581,335,96248,8
35250128,442,70,117298,0
35250129,354,45,111729,0
35250130,318,30,102511,0
35250133,426,0,39203,
35250134,766,90,91534,0
35250135,1665,370,92923,6.7
35250136,351,55,97186,0
35250137,397,50,97014,0
35250144,1676,420,119095,5.9
35250145,373,65,108116,0
35250146,788,115,155550,14.3
35250147,437,50,91747,0
35250148,430,50,99182,0
35250149,575,100,111940,0
35250150,452,65,83839,14.3
35250151,444,70,112959,12.5
35250152,1488,220,119984,0
35250153,558,70,110424,0
35250156,399,65,131842,0
35250158,513,85,197191,0
35250159,440,70,145715,0
35250160,397,75,127641,0
35250161,700,130,182967,0
35250162,387,55,131077,25
35250163,558,90,148761,0
35250164,540,75,83640,0
35250172,513,80,100178,0
35250173,1273,355,96814,0
35250175,1637,460,88320,20.5
35250176,705,100,93256,0
35250177,765,175,76611,20
35250178,560,70,91699,0
35250179,638,100,117446,0
35250180,1608,360,80702,9.1
35250181,363,55,97396,20
35250183,232,30,,
35250184,369,70,89755,16.7
35250185,685,75,86455,0
35250186,317,60,75244,0
35250188,718,130,83658,8.3
35250189,597,90,112903,12.5
35250190,426,75,75353,20
35250191,746,140,74891,0
35250192,1417,305,92392,0
35250193,312,35,89124,0
35250194,486,75,109076,0
35250196,573,125,78366,11.1
35250197,496,70,83953,20
35250199,3055,720,78403,20
35250200,535,55,80948,20
35250201,278,35,,0
35250202,1115,240,56121,28.6
35250203,1094,245,57171,23.8
35250204,927,215,45277,53.3
35250205,237,20,,
35250206,612,75,71794,14.3
35250207,306,50,87987,0
35250208,389,50,89277,0
35250209,332,50,88761,25
35250210,453,40,91600,0
35250211,309,10,52400,
35250212,448,45,60844,0
35250213,377,35,73117,0
35250216,403,50,74432,25
35250217,641,155,60181,41.7
35250218,561,90,61587,28.6
35250221,563,60,39078,33.3
35250222,535,85,65277,20
35250223,446,45,78590,33.3
35250224,415,75,50772,50
35250225,364,45,71708,20
35250226,496,25,40899,0
35250227,578,110,47106,40
35250230,507,75,65956,25
35250231,724,80,67878,0
35250232,875,280,38710,63.6
35250233,531,75,65826,0
35250234,390,70,61954,28.6
35250238,840,185,42594,43.8
35250239,437,115,59749,16.7
35250240,593,100,35181,40
35250241,277,35,79840,33.3
35250242,0,,,
35250243,1192,215,53556,57.9
35250248,844,95,90315,0
35250249,508,25,38718,50
35250250,488,60,76796,0
35250251,393,60,46097,50
35250254,700,85,65476,0
35250255,527,60,57872,16.7
35250256,628,80,64944,0
35250257,571,40,48200,50
35250258,761,65,57706,0
35250259,514,80,77106,14.3
35250260,586,50,42902,33.3
35250261,471,45,37534,50
35250262,762,55,65917,0
35250263,871,100,94887,0
35250264,382,35,107946,0
35250265,453,45,86563,0
35250266,350,45,67999,0
35250267,485,65,80655,0
35250269,257,25,,
35250270,304,25,98227,0
35250271,339,35,86666,0
35250272,417,25,50072,0
35250273,365,35,75628,0
35250274,995,205,64049,11.8
35250275,496,70,80976,0
35250276,618,90,66628,12.5
35250277,422,70,51670,25
35250278,425,70,85403,0
35250279,699,85,73124,20
35250280,398,50,69672,0
35250281,535,115,60816,20
35250282,550,80,81214,0
35250283,637,80,71562,25
35250284,387,55,70987,0
35250285,818,135,84808,11.1
